HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,YourApprovalRate,Input.name,Answer.comment,,Answer.Q1Url,Approve,Reject
1N6QBTAE2W1KWNFVB93NW12T6QHS8S,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:50 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:50 GMT 2011,11,,10QNFGQEC8RJILWHXLPB99F9E45GCX,A2Y5ZXUULMXFXJ,Submitted,Fri Feb 11 17:52:33 GMT 2011,Fri Feb 11 17:53:33 GMT 2011,Wed Feb 16 17:53:33 GMT 2011,,,,60,0% (0/0),Austin Museum of Art,nice,,http://www.amoa.org,x,
1N6QBTAE2W1KWNFVB93NW12T6QHS8S,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:50 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:50 GMT 2011,11,,1FFQ8OS3FFBX5S3S7C3W3B491L5AE8,ANPT7EXBQWHNF,Submitted,Fri Feb 11 17:54:13 GMT 2011,Fri Feb 11 17:54:30 GMT 2011,Wed Feb 16 17:54:30 GMT 2011,,,,17,0% (0/0),Austin Museum of Art,,,http://www.amoa.org/site/PageServer,x,
1N6QBTAE2W1KWNFVB93NW12T6QHS8S,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:50 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:50 GMT 2011,11,,1MOYL5W3LH366KBV4DESY5H51KWVR7,A2TCNISQXXHJ9N,Submitted,Fri Feb 11 17:54:21 GMT 2011,Fri Feb 11 17:54:37 GMT 2011,Wed Feb 16 09:54:37 PST 2011,,,,16,0% (0/0),Austin Museum of Art,,,http://www.amoa.org/,x,
1FKAYPP4YBPUDBQKD1D6NAA28SZ77Y,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:50 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:50 GMT 2011,1,,18I4T4AYNVMTB2PIJN9T6TJFZSQSF3,A1HTDRTXANRYDS,Submitted,Fri Feb 11 17:48:29 GMT 2011,Fri Feb 11 17:48:44 GMT 2011,Wed Feb 16 17:48:44 GMT 2011,,,,15,0% (0/0),Austin Museum of Digital Art,,,http://www.bing.com/search?setmkt=en-US&q=Austin+Museum+of+Digital+Art,,x
1FKAYPP4YBPUDBQKD1D6NAA28SZ77Y,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:50 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:50 GMT 2011,1,,1P64OH05PBDJAVS38ON6MEZ6AQHMCB,A1AA8K11MNMZPA,Submitted,Fri Feb 11 17:56:52 GMT 2011,Fri Feb 11 17:57:23 GMT 2011,Wed Feb 16 09:57:23 PST 2011,,,,31,0% (0/0),Austin Museum of Digital Art,,,http://www.amoda.org/,x,
1FKAYPP4YBPUDBQKD1D6NAA28SZ77Y,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:50 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:50 GMT 2011,1,,1RSJZQF6E99SE82JSUBLR6WJP0NQKF,A24YBVOWKQWQP0,Submitted,Fri Feb 11 17:53:46 GMT 2011,Fri Feb 11 17:53:55 GMT 2011,Wed Feb 16 17:53:55 GMT 2011,,,,9,0% (0/0),Austin Museum of Digital Art,,,http://www.amoda.org/,x,
1XXLGWZD8OK5C06C9KSSCSN3T7X9O2,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:50 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:50 GMT 2011,1,,18O2QUCX3ZI6UJWVRYPSTF705YUQV1,A1DX0O7J1K5WT2,Submitted,Fri Feb 11 17:55:29 GMT 2011,Fri Feb 11 17:55:59 GMT 2011,Wed Feb 16 09:55:59 PST 2011,,,,30,0% (0/0),French Legation Museum,,,http://www.frenchlegationmuseum.org/,x,
1XXLGWZD8OK5C06C9KSSCSN3T7X9O2,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:50 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:50 GMT 2011,1,,1GPBKUP1HC1CCSPXBPAGATYM9O937J,A24YBVOWKQWQP0,Submitted,Fri Feb 11 17:53:56 GMT 2011,Fri Feb 11 17:54:17 GMT 2011,Wed Feb 16 17:54:17 GMT 2011,,,,21,0% (0/0),French Legation Museum,,,http://www.frenchlegationmuseum.org/,x,
1XXLGWZD8OK5C06C9KSSCSN3T7X9O2,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:50 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:50 GMT 2011,1,,1PSORPIFDTTB9BCFUR8EHWA6JFB67S,ANPT7EXBQWHNF,Submitted,Fri Feb 11 17:55:50 GMT 2011,Fri Feb 11 17:56:03 GMT 2011,Wed Feb 16 09:56:03 PST 2011,,,,13,0% (0/0),French Legation Museum,,,http://www.frenchlegationmuseum.org/,x,
1F6CMGN01UVBEGSH37OYL4PMN1EWVG,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:51 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:51 GMT 2011,5,,18URMK7UFO6SS41U5J9AV9JLR3G8XB,A24YBVOWKQWQP0,Submitted,Fri Feb 11 17:53:04 GMT 2011,Fri Feb 11 17:53:25 GMT 2011,Wed Feb 16 17:53:25 GMT 2011,,,,21,0% (0/0),George Washington Carver Museum and Cultural Center,,,http://www.gwcmuseumculturalcenter.org/,,x
1F6CMGN01UVBEGSH37OYL4PMN1EWVG,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:51 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:51 GMT 2011,5,,1QMLP4WT4LH15OPMOCPNOBYFNRBSEL,A1KCCOOI9JBBZU,Submitted,Fri Feb 11 17:48:27 GMT 2011,Fri Feb 11 17:50:02 GMT 2011,Wed Feb 16 17:50:02 GMT 2011,,,,95,0% (0/0),George Washington Carver Museum and Cultural Center,,,http://www.gwcmuseumculturalcenter.org,,x
1F6CMGN01UVBEGSH37OYL4PMN1EWVG,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:51 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:51 GMT 2011,5,,1ZYA4DPUP5HL2O7XGP6K5COKOVSC5C,A1AA8K11MNMZPA,Submitted,Fri Feb 11 18:00:39 GMT 2011,Fri Feb 11 18:01:15 GMT 2011,Wed Feb 16 10:01:15 PST 2011,,,,36,0% (0/0),George Washington Carver Museum and Cultural Center,,,http://www.ci.austin.tx.us/carver/,x,
1QC8ZALRKI7AM5DMFN9M5JTAW1MZIC,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:50 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:50 GMT 2011,1,,114JU7QN73EVGNUO3ZH9OL5RPREAZE,A1DX0O7J1K5WT2,Submitted,Fri Feb 11 17:54:42 GMT 2011,Fri Feb 11 17:55:29 GMT 2011,Wed Feb 16 17:55:29 GMT 2011,,,,47,0% (0/0),Lyndon Baines Johnson Library and Museum,,,http://www.lbjstore.com/,,x
1QC8ZALRKI7AM5DMFN9M5JTAW1MZIC,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:50 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:50 GMT 2011,1,,1S9PMH6QPRC2SJFR2PAPUSI26AR5BX,A24YBVOWKQWQP0,Submitted,Fri Feb 11 17:50:47 GMT 2011,Fri Feb 11 17:50:58 GMT 2011,Wed Feb 16 17:50:58 GMT 2011,,,,11,0% (0/0),Lyndon Baines Johnson Library and Museum,,,http://www.lbjlibrary.org/,x,
1QC8ZALRKI7AM5DMFN9M5JTAW1MZIC,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:50 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:50 GMT 2011,1,,1XEHQZDSVSYO0TL9746O3YITN5WOBL,ALRX4ZQ2NB4I6,Submitted,Fri Feb 11 17:55:19 GMT 2011,Fri Feb 11 17:55:57 GMT 2011,Wed Feb 16 09:55:57 PST 2011,,,,38,0% (0/0),Lyndon Baines Johnson Library and Museum,,,http://www.lbjlibrary.org,x,
16R7E7BEDHY4FU00SPW1VKCN7FJ4O1,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:51 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:51 GMT 2011,32,,154P60WFZ27WDIBMSHE3ITGUNFASDS,A1HTDRTXANRYDS,Submitted,Fri Feb 11 17:48:17 GMT 2011,Fri Feb 11 17:48:28 GMT 2011,Wed Feb 16 17:48:28 GMT 2011,,,,11,0% (0/0),Neill-Cochran House,,,http://www.bing.com/search?setmkt=en-US&q=Neill-Cochran+House,,x
16R7E7BEDHY4FU00SPW1VKCN7FJ4O1,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:51 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:51 GMT 2011,32,,18L3NI651TMR27QYJXIS29X32FIW3E,A2TCNISQXXHJ9N,Submitted,Fri Feb 11 17:55:21 GMT 2011,Fri Feb 11 17:55:28 GMT 2011,Wed Feb 16 09:55:28 PST 2011,,,,7,0% (0/0),Neill-Cochran House,,,http://www.nchmuseum.org/,x,
16R7E7BEDHY4FU00SPW1VKCN7FJ4O1,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:51 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:51 GMT 2011,32,,1R6C6BTLFNZQ12A6AUBXUTIN4UANO9,A24YBVOWKQWQP0,Submitted,Fri Feb 11 17:51:19 GMT 2011,Fri Feb 11 17:51:28 GMT 2011,Wed Feb 16 17:51:28 GMT 2011,,,,9,0% (0/0),Neill-Cochran House,,,http://www.nchmuseum.org/,x,
1FK4O7XINMSAH4H96Y0VGZWD7ZE1XQ,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:51 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:51 GMT 2011,22,,199H1S832PZ1CI1BM98OEEGRXJJQHB,A2TCNISQXXHJ9N,Submitted,Fri Feb 11 17:53:31 GMT 2011,Fri Feb 11 17:53:37 GMT 2011,Wed Feb 16 17:53:37 GMT 2011,,,,6,0% (0/0),Texas Governor's Mansion,,,http://www.txfgm.org/,x,
1FK4O7XINMSAH4H96Y0VGZWD7ZE1XQ,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:51 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:51 GMT 2011,22,,1IAUL3LILXUVHGV5OARFGJ9IANWAMX,A24YBVOWKQWQP0,Submitted,Fri Feb 11 17:52:24 GMT 2011,Fri Feb 11 17:52:37 GMT 2011,Wed Feb 16 17:52:37 GMT 2011,,,,13,0% (0/0),Texas Governor's Mansion,,,http://www.txfgm.org/,x,
1FK4O7XINMSAH4H96Y0VGZWD7ZE1XQ,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:51 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:51 GMT 2011,22,,1LVQDAMONV57DT3YZKJT0RKGB85MXD,ALRX4ZQ2NB4I6,Submitted,Fri Feb 11 18:00:29 GMT 2011,Fri Feb 11 18:01:45 GMT 2011,Wed Feb 16 10:01:45 PST 2011,,,,76,0% (0/0),Texas Governor's Mansion,,,http://www.txfgm.org,x,
1QQDIKQJQW76HGXSX5UMHK8A9GBZJO,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:51 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:51 GMT 2011,31,,10ZQG8NTDFVQCEBWEF312MGIM7RFZW,A1KCCOOI9JBBZU,Submitted,Fri Feb 11 17:50:29 GMT 2011,Fri Feb 11 17:51:11 GMT 2011,Wed Feb 16 17:51:11 GMT 2011,,,,42,0% (0/0),Lady Bird Johnson Wildflower Center,,,http://www.wildflower.org,x,
1QQDIKQJQW76HGXSX5UMHK8A9GBZJO,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:51 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:51 GMT 2011,31,,16NO784TJ2AYE2OYZ54HIM257KV0AC,A24YBVOWKQWQP0,Submitted,Fri Feb 11 17:50:00 GMT 2011,Fri Feb 11 17:50:09 GMT 2011,Wed Feb 16 17:50:09 GMT 2011,,,,9,0% (0/0),Lady Bird Johnson Wildflower Center,,,http://www.wildflower.org/,x,
1QQDIKQJQW76HGXSX5UMHK8A9GBZJO,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:51 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:51 GMT 2011,31,,16TVZAUSID1FHA0KSFX7551Q6O0L1I,A32M5FDKCPHMA,Submitted,Fri Feb 11 17:50:45 GMT 2011,Fri Feb 11 17:51:39 GMT 2011,Wed Feb 16 09:51:39 PST 2011,,,,54,0% (0/0),Lady Bird Johnson Wildflower Center,,,www.wildflower.org,x,
1P3ZGSUOSU2NX0IDOK571SST3CT9PJ,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:51 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:51 GMT 2011,1,,13UDFODMZUQHFNTAQIPMSCWYXGMB7I,ALRX4ZQ2NB4I6,Submitted,Fri Feb 11 17:55:57 GMT 2011,Fri Feb 11 17:57:17 GMT 2011,Wed Feb 16 17:57:17 GMT 2011,,,,80,0% (0/0),Arthouse at the Jones Center,,,http://www.arthousetexas.org,x,
1P3ZGSUOSU2NX0IDOK571SST3CT9PJ,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:51 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:51 GMT 2011,1,,1JJNNX5C7Q3LHAD7E5L18YDZUZKXI7,A24YBVOWKQWQP0,Submitted,Fri Feb 11 17:51:29 GMT 2011,Fri Feb 11 17:51:37 GMT 2011,Wed Feb 16 17:51:37 GMT 2011,,,,8,0% (0/0),Arthouse at the Jones Center,,,http://www.arthousetexas.org/,x,
1P3ZGSUOSU2NX0IDOK571SST3CT9PJ,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:51 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:51 GMT 2011,1,,1TAAASLBVYD187WUQ0DJYUHYIEU49I,AM0JKZVOEOTMA,Submitted,Fri Feb 11 18:00:29 GMT 2011,Fri Feb 11 18:00:55 GMT 2011,Wed Feb 16 10:00:55 PST 2011,,,,26,0% (0/0),Arthouse at the Jones Center,,,www.arthousetexas.org,x,
1WW4OH05PBDJAVS38ON6MEZ64SKMCG,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:51 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:51 GMT 2011,29,,16R91O0KUD6FHU2HO2KGZ13YZBLVGB,A2TCNISQXXHJ9N,Submitted,Fri Feb 11 17:52:32 GMT 2011,Fri Feb 11 17:52:49 GMT 2011,Wed Feb 16 09:52:49 PST 2011,,,,17,0% (0/0),Umlauf Sculpture Garden,,,http://umlaufsculpture.org/,x,
1WW4OH05PBDJAVS38ON6MEZ64SKMCG,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:51 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:51 GMT 2011,29,,1T6NVWJ7HD0PPL5AKXPM1B7EBL72UA,A24YBVOWKQWQP0,Submitted,Fri Feb 11 17:52:14 GMT 2011,Fri Feb 11 17:52:23 GMT 2011,Wed Feb 16 09:52:23 PST 2011,,,,9,0% (0/0),Umlauf Sculpture Garden,,,http://www.umlaufsculpture.org/,x,
1WW4OH05PBDJAVS38ON6MEZ64SKMCG,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:51 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:51 GMT 2011,29,,1VR618N4HGKM2VTXG3YWXSTNKOTQA0,A3FEJ3YZ2OXGMW,Submitted,Fri Feb 11 17:52:23 GMT 2011,Fri Feb 11 17:52:38 GMT 2011,Wed Feb 16 09:52:38 PST 2011,,,,15,0% (0/0),Umlauf Sculpture Garden,,,http://umlaufsculpture.org/,x,
19DQIIVWYF5KASY5G191WXX4QWZS9H,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:51 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:51 GMT 2011,11,,18XP0KDX0EWZMZHO7GOGDKCOLX81ZH,A24YBVOWKQWQP0,Submitted,Fri Feb 11 17:47:48 GMT 2011,Fri Feb 11 17:48:03 GMT 2011,Wed Feb 16 17:48:03 GMT 2011,,,,15,0% (0/0),Bob Bullock Texas State History Museum,,,http://www.thestoryoftexas.com/,x,
19DQIIVWYF5KASY5G191WXX4QWZS9H,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:51 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:51 GMT 2011,11,,1OWBVZ4JUTF2HPUFFX4NJZSBW1IW23,ANPT7EXBQWHNF,Submitted,Fri Feb 11 17:55:02 GMT 2011,Fri Feb 11 17:55:25 GMT 2011,Wed Feb 16 09:55:25 PST 2011,,,,23,0% (0/0),Bob Bullock Texas State History Museum,,,http://www.thestoryoftexas.com/,x,
19DQIIVWYF5KASY5G191WXX4QWZS9H,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:51 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:51 GMT 2011,11,,1SDKR2DU4K1M6VIGBJXLAOBVYUE2LG,A1DX0O7J1K5WT2,Submitted,Fri Feb 11 17:50:01 GMT 2011,Fri Feb 11 17:50:59 GMT 2011,Wed Feb 16 17:50:59 GMT 2011,,,,58,0% (0/0),Bob Bullock Texas State History Museum,,,http://www.thestoryoftexas.com/,x,
1H6HYWEPG78YDPV3N65C1A6XJC578L,115JA2O8EWFXWWUKHVS8S46UXTFDB0,Find the Website Address for Museums,"Given the museum information, find the URL for their official website","data collection, museums, listings",$0.05 ,Fri Feb 11 17:46:51 GMT 2011,3,,72000,432000,Wed Feb 16 17:46:51 GMT 2011,0,,15CCT1OPWRII8UJEBLX1DN46G9SACF,A3FEJ3YZ2OXGMW,Submitted,Fri Feb 11 17:51:34 GMT 2011,Fri Feb 11 17:52:09 GMT 2011,Wed Feb 16 17:52:09 GMT 2011,,,,35,0% (0/0),O. Henry Museum,,,http://www.ci.austin.tx.us,,x
